t,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,u0,u1,u2,u3,primal_residual,dual_residual
0.084,6.72127e-05,-4.55173e-07,-0.00155272,9.92802e-05,0.00386841,0.00065274,0.00272814,-3.38416e-05,-0.0295179,0.00622934,0.0623845,0.0179289,0.671089,0.624568,0.656971,0.637643,0,0
0.085,6.9976e-05,-4.8993e-07,-0.00158228,0.000102412,0.00389908,0.000661672,0.00279863,-3.56832e-05,-0.0295984,0.0062397,0.0602924,0.017835,0.671426,0.624942,0.657319,0.637986,0,0
0.086,7.28101e-05,-5.26559e-07,-0.00161192,0.000105548,0.00392871,0.000670557,0.00286964,-3.75823e-05,-0.0296736,0.00624406,0.0582172,0.017742,0.671754,0.625318,0.657662,0.638326,0,0
0.087,7.57155e-05,-5.65114e-07,-0.00164162,0.000108685,0.00395731,0.000679396,0.00294112,-3.95389e-05,-0.0297436,0.00624245,0.0561608,0.0176502,0.672073,0.625695,0.658,0.638663,0,0
0.088,7.86925e-05,-6.05656e-07,-0.0016714,0.000111821,0.00398488,0.000688189,0.00301308,-4.15529e-05,-0.0298082,0.00623494,0.0541249,0.0175596,0.672383,0.626071,0.658332,0.638997,0,0
0.089,8.17418e-05,-6.4824e-07,-0.00170124,0.000114952,0.00401144,0.000696937,0.00308548,-4.36243e-05,-0.0298678,0.00622158,0.0521114,0.0174704,0.672684,0.626449,0.65866,0.639329,0,0
0.09,8.48637e-05,-6.92923e-07,-0.00173113,0.000118075,0.004037,0.000705641,0.0031583,-4.57528e-05,-0.0299223,0.00620245,0.0501219,0.0173827,0.672977,0.626825,0.658982,0.639658,0,0
0.091,8.80585e-05,-7.39764e-07,-0.00176108,0.000121187,0.00406157,0.000714302,0.00323153,-4.79383e-05,-0.0299718,0.00617764,0.0481577,0.0172966,0.673261,0.627202,0.659298,0.639984,0,0
0.092,9.13268e-05,-7.88819e-07,-0.00179107,0.000124287,0.00408517,0.000722919,0.00330515,-5.01805e-05,-0.0300163,0.00614723,0.0462205,0.0172123,0.673538,0.627578,0.65961,0.640306,0,0
0.093,9.4669e-05,-8.40144e-07,-0.00182111,0.00012737,0.0041078,0.000731495,0.00337913,-5.24791e-05,-0.0300561,0.00611133,0.0443115,0.0171297,0.673806,0.627952,0.659917,0.640625,0,0
0.094,9.80852e-05,-8.93796e-07,-0.00185118,0.000130435,0.00412949,0.00074003,0.00345346,-5.48336e-05,-0.030091,0.00607007,0.0424318,0.0170491,0.674068,0.628325,0.660219,0.640941,0,0
0.095,0.000101576,-9.4983e-07,-0.00188129,0.000133478,0.00415025,0.000748525,0.00352811,-5.72438e-05,-0.0301213,0.00602356,0.0405828,0.0169705,0.674322,0.628697,0.660516,0.641253,0,0
0.096,0.000105142,-1.0083e-06,-0.00191142,0.000136497,0.00417008,0.000756982,0.00360308,-5.9709e-05,-0.0301469,0.00597193,0.0387653,0.016894,0.674569,0.629066,0.660809,0.641562,0,0
0.097,0.000108782,-1.06927e-06,-0.00194158,0.00013949,0.00418902,0.0007654,0.00367833,-6.22287e-05,-0.030168,0.00591532,0.0369804,0.0168196,0.674809,0.629434,0.661096,0.641867,0,0
0.098,0.000112498,-1.13278e-06,-0.00197176,0.000142453,0.00420708,0.000773782,0.00375386,-6.48025e-05,-0.0301846,0.00585388,0.0352288,0.0167474,0.675042,0.629799,0.661379,0.642168,0,0
0.099,0.00011629,-1.19889e-06,-0.00200195,0.000145386,0.00422426,0.000782129,0.00382965,-6.74295e-05,-0.0301968,0.00578775,0.0335114,0.0166774,0.675269,0.630161,0.661658,0.642466,0,0
0.1,0.000120158,-1.26765e-06,-0.00203215,0.000148284,0.0042406,0.000790441,0.00390567,-7.01092e-05,-0.0302047,0.00571708,0.0318289,0.0166098,0.675491,0.630521,0.661932,0.642759,0,0
0.101,0.000124101,-1.33913e-06,-0.00206236,0.000151147,0.0042561,0.00079872,0.00398192,-7.28408e-05,-0.0302084,0.00564204,0.0301817,0.0165444,0.675706,0.630877,0.662202,0.643049,0,0
0.102,0.000128122,-1.41335e-06,-0.00209256,0.000153972,0.00427079,0.000806967,0.00405837,-7.56237e-05,-0.0302079,0.00556278,0.0285705,0.0164814,0.675915,0.63123,0.662468,0.643335,0,0
0.103,0.000132218,-1.49039e-06,-0.00212277,0.000156756,0.00428469,0.000815183,0.004135,-7.84568e-05,-0.0302033,0.00547948,0.0269957,0.0164208,0.67612,0.63158,0.662729,0.643616,0,0
0.104,0.000136392,-1.57028e-06,-0.00215297,0.000159498,0.0042978,0.000823369,0.00421181,-8.13395e-05,-0.0301946,0.00539232,0.0254575,0.0163626,0.676318,0.631926,0.662986,0.643894,0,0
0.105,0.000140642,-1.65309e-06,-0.00218316,0.000162197,0.00431015,0.000831527,0.00428878,-8.42708e-05,-0.030182,0.00530147,0.0239564,0.0163067,0.676512,0.632268,0.663239,0.644167,0,0
0.106,0.000144969,-1.73884e-06,-0.00221333,0.000164849,0.00432177,0.000839657,0.00436589,-8.72498e-05,-0.0301656,0.0052071,0.0224925,0.0162533,0.676701,0.632606,0.663488,0.644436,0,0
0.107,0.000149374,-1.8276e-06,-0.00224349,0.000167455,0.00433266,0.000847762,0.00444312,-9.02756e-05,-0.0301453,0.00510942,0.021066,0.0162023,0.676885,0.632939,0.663732,0.644701,0,0
0.108,0.000153856,-1.91941e-06,-0.00227362,0.00017001,0.00434285,0.000855842,0.00452047,-9.33471e-05,-0.0301213,0.00500859,0.0196768,0.0161536,0.677065,0.633269,0.663973,0.644962,0,0
0.109,0.000158415,-2.01431e-06,-0.00230373,0.000172516,0.00435235,0.000863898,0.00459791,-9.64633e-05,-0.0300937,0.0049048,0.0183251,0.0161074,0.67724,0.633594,0.66421,0.645219,0,0
0.11,0.000163051,-2.11235e-06,-0.00233381,0.000174969,0.00436118,0.000871932,0.00467544,-9.96233e-05,-0.0300624,0.00479824,0.0170108,0.0160635,0.677412,0.633914,0.664443,0.645471,0,0
0.111,0.000167766,-2.21357e-06,-0.00236385,0.000177369,0.00436937,0.000879944,0.00475304,-0.000102826,-0.0300277,0.0046891,0.0157336,0.016022,0.677579,0.634229,0.664672,0.645719,0,0
0.112,0.000172558,-2.31802e-06,-0.00239386,0.000179714,0.00437693,0.000887937,0.00483069,-0.00010607,-0.0299895,0.00457758,0.0144936,0.0159827,0.677742,0.63454,0.664898,0.645963,0,0
0.113,0.000177427,-2.42572e-06,-0.00242383,0.000182003,0.00438387,0.00089591,0.0049084,-0.000109354,-0.0299479,0.00446386,0.0132903,0.0159458,0.677902,0.634845,0.66512,0.646202,0,0
0.114,0.000182374,-2.53674e-06,-0.00245375,0.000184235,0.00439023,0.000903866,0.00498613,-0.000112678,-0.029903,0.00434814,0.0121236,0.0159112,0.678058,0.635146,0.665338,0.646437,0,0
0.115,0.000187399,-2.65109e-06,-0.00248363,0.000186409,0.00439601,0.000911805,0.00506389,-0.00011604,-0.0298549,0.0042306,0.0109931,0.0158787,0.678211,0.635441,0.665552,0.646668,0,0
0.116,0.000192502,-2.76883e-06,-0.00251346,0.000188525,0.00440123,0.000919729,0.00514165,-0.000119438,-0.0298037,0.00411144,0.00989844,0.0158485,0.67836,0.635731,0.665764,0.646894,0,0
0.117,0.000197683,-2.88998e-06,-0.00254324,0.000190581,0.00440591,0.000927638,0.00521942,-0.000122873,-0.0297493,0.00399084,0.00883915,0.0158203,0.678507,0.636016,0.665971,0.647116,0,0
0.118,0.000202941,-3.01459e-06,-0.00257296,0.000192577,0.00441008,0.000935534,0.00529717,-0.000126341,-0.0296919,0.00386901,0.00781478,0.0157943,0.67865,0.636295,0.666175,0.647334,0,0
0.119,0.000208277,-3.14268e-06,-0.00260262,0.000194512,0.00441374,0.000943417,0.0053749,-0.000129843,-0.0296316,0.0037461,0.00682481,0.0157704,0.678791,0.636569,0.666376,0.647548,0,0
0.12,0.000213691,-3.27428e-06,-0.00263222,0.000196386,0.00441691,0.000951289,0.00545259,-0.000133377,-0.0295683,0.0036223,0.00586871,0.0157484,0.678928,0.636837,0.666573,0.647757,0,0
0.121,0.000219182,-3.40944e-06,-0.00266176,0.000198198,0.00441962,0.000959151,0.00553024,-0.000136942,-0.0295023,0.00349781,0.00494588,0.0157284,0.679063,0.6371,0.666766,0.647962,0,0
